揝	撍
揦	攋
揪	揫
揫	揪
揶	捓
揸	楂 摣
搃	總 摠
搇	撳
搉	㩁
搒	挷
搖	摇
搗	擣
搜	𢯱 𢲷
搞	攪
搤	㧖 扼
搪	傏
搫	搬
搬	搫
搭	撘
搯	掏
携	攜
摁	恩
摇	搖
摒	拼
摠	搃 𢰾 總
摡	溉
摣	揸
摮	𢳆
撂	㨼
撆	撇
撇	撆
撍	揝
撐	撑
撑	撐
撘	搭
撟	嬌
撦	扯
撫	捬 𨑟
撲	扑
撳	搇
撽	擊
擃	攮
擄	虜
擊	撽
擋	攩 𫽮
擒	捦
擔	担
擗	劈
擡	抬
擣	搗
擥	㩜 攬
擧	舉
擲	擿
擸	㧜
擿	擲
攀	㐴 扳
攅	攢
攋	揦
攜	携
攢	攅
攩	擋 𫽮
攪	搞
攬	㩜 擥
攮	擃
攴	攵
攵	攴
收	㧃 収
攷	考
敁	掂
敃	暋
效	効
敉	侎
敍	叙 敘
敎	教
敏	勄
敕	勅 勑
敗	䢙
敘	叙 敍
教	敎
敠	敪
敦	惇 𠊋
敪	敠
敷	尃 旉
敺	驅
斁	𤢕
斅	斆
斆	斅 鏰
斈	學
斉	齊
斋	齋
斌	彬
斚	斝
斝	斚
斞	㔱 庾
斤	觔
斥	㡿
断	斷
斲	㓸 斵
斵	斲
斷	断
於	于 亏 扵
斾	旆
旂	旗
旆	斾
旈	旒
旉	尃 敷
旒	旈
旗	旂
旘	幟
旛	幡
无	無
旧	舊
旪	協
旳	嶩
时	時 旹
旹	时 時
昂	昻
明	朙
昏	昬
昒	㫚
昝	偺 喒
映	暎
昪	忭
昬	昏
昵	暱
昷	𥁕
昻	昂
晁	朝
時	时 旹
晅	烜
晉	晋
晋	晉
晒	曬
晡	𣇀
晰	晳
晳	晰
暋	敃
暎	映
暖	煖
暠	皜 𣉞
暱	昵
暴	虣
曆	厤 歴 歷
曖	瞹
曜	燿 耀 𮲝
曡	叠 疊
曬	晒
更	㪅
曼	㬅
朁	㬱
會	会
朐	鸜 鴝
朙	明
望	朢
朝	晁
朞	稘
朢	望
朳	杷
朴	樸
朵	朶
朶	朵
