trad	vars	cn	tw	hk	jp	jpg	notes
縎		𦈔					
縐		绉					
縑		缣					
縕	緼	缊		緼			
縗		缞					
縛		缚					
縝		缜					
縞		缟					
縟		缛					
縠		縠					
縢		縢					
縣		县			県		
縫		缝					
縬		𦈚					
縭		缡					
縮		缩					
縯		𬙂					
縰		𫄳					
縱		纵			縦		
縲		缧					
縳		䌸					
縴		纤					
縵		缦					
縶		絷					
縷		缕					
縸		𫄲					
縹		缥					
縺		𦈐					
縻		縻					
總		总			総		
績		绩					
繁		繁			繁	繁	
繂		𫄴					
繃		绷					
繄		繄					
繅		缫					
繆		缪					
繇		繇					
繈		𫄶					
繏		𦈝					
繐		𰬸 穗					
繒		缯					
繓		𦈛					
織		织					
繕		缮					
繚		缭					
繞		绕					
繟		𦈎					
繡	綉	绣			繍		
繢		缋					
繨		𫄤					
繩		绳			縄		
繪		绘			絵		
繫		系			繋		
繬		𫄱					
繭		茧					
繮	韁	缰	韁				
繯		缳					
繰		缲					
繳		缴					
繶		𫄷					
繷		𫄣					
繸		䍁					
繹		绎					
繻		𦈡					
繼		继			継		
繽		缤					
繾		缱					
繿		䍀					
纁		𫄸					
纂		纂					
纆		𬙊					
纇		颣					
纈		缬					
纊		纩					
續		续			続		
纍		累					
纏		缠					
纓		缨					
纔		才	才	才	才		
纕		𬙋					
纖		纤			繊		
纗		𫄹					
纘		缵					
纚		𫄥					
纛		纛					
纜		缆					
缶		缶					
缸		缸					
缺		缺			欠		
罃		䓨					
罄		罄					
罅		罅					
罈	墰 罎 壜	坛					
罌		罂					
罍		罍					
罐		罐			缶		
罔		罔					
罕		罕					
罘		罘					
罟		罟					
罡		罡					
罨		罨					
罩		罩					
罪		罪					
置		置					
罰		罚					
罱		罱					
署		署			署	署	
罵	駡	骂					
罶		罶					
罷		罢					
罹		罹					
罽		罽					
罾		罾					
羅		罗					
羆		罴					
羈		羁					
羊		羊					
羋	芈	芈					
羌		羌					
美		美					
羑		羑					
羓		羓					
羔		羔					
羕		羕					
羖		羖					
羚		羚					
羝		羝					
羞		羞					
羣	群	群	群		群		
羥		羟					
羧		羧					
羨	羡	羡					
義		义					
羯		羯					
羰		羰					
羱		羱					
羲		羲					
羵		𫅗					
羶	羴	膻					
羸		羸					
羹		羹					
羼		羼					
羽		羽					
羿		羿					
翀		翀					
翁		翁					
翂		翂					
翃		翃					
翅		翅					
翈		翈					
翊		翊					
翌		翌					
翎		翎					
習		习					
翔		翔					
翕		翕					
翛		翛					
翟		翟					
翠		翠					
翡		翡					
翥		翥					
翦		翦					
翩		翩					
翫		玩					
翬		翚					
翮		翮					
翯		翯					
翰		翰					
翱		翱					
翳		翳					
翷		翷					
翹		翘					
翻		翻			翻	飜	
翼		翼					
翽		翙					
翾		翾					
耀		耀					
老		老					
考	攷	考					
耄		耄					
者		者			者	者	
耆		耆					
耇		耇					
耋		耋					
而		而					
耍		耍					
耏		耏					
耐		耐					
耑		耑 专					
耒		耒					
耔		耔					
耕		耕					
耖		耖					
耗		耗					
耘		耘					
耙		耙					
耜		耜					
耠		耠					
耤		耤					
耥		耥					
耦		耦					
耨		耨					
耩		耩					
耪		耪					
耬		耧					
耮		耢					
耰		耰					
耱		耱					
耳		耳					
耵		耵					
耶		耶					
耷		耷					
耽		耽					
耿		耿					
聃		聃					
聆		聆					
聊		聊					
聒		聒					
聖		圣					
聘		聘					
聚		聚					
聞		闻					
聯		联			連		
聰		聪			聡		
聱		聱					
聲		声			声		
聳		耸					
聵		聩					
聶		聂					
職		职					
聹		聍					
聻		𫆏					
聽		听			聴		
聾		聋					
聿		聿					
肄		肄					
肅		肃			粛		
肆		肆					
肇		肇					
肉		肉					
肋		肋					
肌		肌					
肓		肓					
肖		肖					
肘		肘					
肚		肚					
肛		肛					
肝		肝					
肟		肟					
股		股					
肢		肢					
肥		肥					
肩		肩					
肪		肪					
肫		肫					
肭		肭					
肯		肯					
肱		肱					
育		育					
肷		肷					
肸		肸					
肺		肺					
肼		肼					
肽		肽					
胂		胂					
胃		胃					
胄		胄					
胈		胈					
背		背					
胍		胍					
胎		胎					
胖		胖					
胗		胗					
胙		胙					
胚		胚					
胛		胛					
胜		胜					
胝		胝					
胞		胞					
胠		胠					
胡		胡					
胣		胣					
胤		胤					
胥		胥					
胩		胩					
胬		胬					
胭		胭					
胯		胯					
胰		胰					
胱		胱					
胲		胲					
胳		胳					
胴		胴					
胸		胸					
胺		胺					
胼		胼					
能		能					
脂		脂					
脅		胁					
脆		脆					
脈	脉	脉					
脊		脊					
脎		脎					
脒		脒					
脖		脖					
脘		脘					
脛		胫					
脞		脞					
脟		脟					
脣		唇	唇	唇	唇		
脥		𣍰					
脩		修 脩					
脫	脱	脱		脱	脱		
脬		脬					
脯		脯					
脲		脲					
脹		胀					
脾		脾					
脿		脿					
腆		腆					
腈		腈					
腊		腊					
腋		腋					
腌		腌					
腎		肾					
腐		腐					
腑		腑					
腒		腒					
腓		腓					
腔		腔					
腕		腕					
腖		胨					
腙		腙					
腚		腚					
腠		腠					
腡		脶					
腥		腥					
腦		脑			脳		
腧		腧					
腨		腨					
腩		腩					
腪		𣍯					
腫		肿					
腮		腮					
腯		腯					
腰		腰					
腱		腱					
腳	脚	脚			脚		
腴		腴					
腸		肠					
腹		腹					
腺		腺					
腼		腼					
腿		腿					
膀		膀					
膂		膂					
膃	腽	腽		腽			
膈		膈					
膊		膊					
膏		膏					
膕		腘					
膘		膘					
膙		膙					
膚		肤					
膛		膛					
膜		膜					
膝		膝					
膞		䏝					
膠		胶					
膢		𦝼					
膦		膦					
膨		膨					
膩		腻					
膳		膳					
膹		𪱥					
膺		膺					
膻		膻					
膽		胆			胆		
膾		脍					
膿		脓					
臀		臀					
臂		臂					
臃		臃					
臆		臆					
臉		脸					
臊		臊					
臌		臌					
臍		脐					
臏		膑					
臑		臑					
臗		𣎑					
臘		腊					
臚		胪					
臟		脏			臓		
臠		脔					
臢		臜					
臣		臣					
臥	卧	卧		卧			
臧		臧					
臨		临					
自		自					
臬		臬					
臭		臭			臭	臭	
至		至					
致		致					
臺		台		台	台		
臻		臻					
臼		臼					
臾		臾					
舀		舀					
舁		舁					
舂		舂					
舄		舄					
舅		舅					
與		与			与		
興		兴					
舉	擧	举			挙	擧	
舊		旧			旧		
舌		舌					
舍		舍			舎		
舐		舐					
舒		舒					
舔		舔					
舛		舛					
舜		舜					
舞		舞					
舟		舟					
舠		舠					
舢		舢					
舥		舥					
航		航					
舫		舫					
般		般					
舭		舭					
舯		舯					
舲		舲					
舳		舳					
舴		舴					
舵		舵					
舶		舶					
舷		舷					
舸		舸					
船		船					
舾		舾					
艄		艄					
艅		艅					
艇		艇					
艉		艉					
艋		艋					
艎		艎					
艏		艏					
艘		艘					
艙		舱					
艚		艚					
艟		艟					
艣		𫇛					
艤		舣					
艦		舰					
艨		艨					
艫		舻					
艮		艮					
良		良					
艱		艰					
色		色					
艴		艴					
艷		艳			艶		
艽		艽					
艾		艾					
艿		艿					
芃		芃					
芄		芄					
芊		芊					
芋		芋					
芍		芍					
芎		芎					
芏		芏					
芑		芑					
芒		芒					
芘		芘					
芙		芙					
芝		芝					
芟		芟					
芠		芠					
芡		芡					
芣		芣					
芤		芤					
芥		芥					
芨		芨					
芩		芩					
芪		芪					
芫		芫					
芬		芬					
芭		芭					
芮		芮					
芯		芯					
芰		芰					
花		花					
芳		芳					
芴		芴					
芷		芷					
芸		芸					
芹		芹					
芻		刍					
芼		芼					
芽		芽					
芾		芾					
苄		苄					
苉		苉					
苊		苊					
苑		苑					
苒		苒					
苓		苓					
苔		苔					
苕		苕					
苗		苗					
苛		苛					
苜		苜					
苞		苞					
苟		苟					
苠		苠					
苡		苡					
苣		苣					
苤		苤					
若		若					
苦		苦					
苧		苎					
苫		苫					
苯		苯					
英		英					
苴		苴					
苷		苷					
苹		苹					
苻		苻					
苾		苾					
茀		茀					
茁		茁					
茂		茂					
范		范					
茄		茄					
茅		茅					
茆		茆					
茈		茈					
茉		茉					
茋		茋					
茌		茌					
茓		茓					
茗		茗					
茚		茚					
茛		茛					
茜		茜					
茝		茝					
茨		茨					
茫		茫					
茬		茬					
茭		茭					
茯		茯					
茱		茱					
茲	兹	兹					
茳		茳					
茴		茴					
茵		茵					
茶		茶					
茸		茸					
茹		茹					
茺		茺					
茼		茼					
茽		茽					
荀		荀					
荁		荁					
荃		荃					
荄		荄					
荇		荇					
草		草					
荊	荆	荆					
荏		荏					
荐		荐					
荑		荑					
荒		荒					
荓		荓					
荔		荔			茘		
荖		荖					
荷		荷					
荸		荸					
荻		荻					
荼		荼					
荽		荽					
莆		莆					
莉		莉					
莊		庄			荘		
莎		莎					
莒		莒					
莓		莓					
莖		茎			茎		
莘		莘					
莙		莙					
莛		莛					
莜		莜					
莝		莝					
莞		莞					
莠		莠					
莢		荚					
莧		苋					
莨		莨					
莩		莩					
莪		莪					
莫		莫					
莰		莰					
莽		莽					
莿		莿					
菀		菀					
菁		菁					
菂		菂					
菅		菅					
菇		菇					
菉		菉 绿					
菊		菊					
菌		菌					
菍		菍					
菏		菏					
菔		菔					
菕		𰰨					
菖		菖					
菘		菘					
菜		菜					
菝		菝					
菟		菟					
菠		菠					
菡		菡					
菥		菥					
菩		菩					
菪		菪					
華		华					
菰		菰					
菱		菱					
菲		菲					
菴		庵					
菸		烟		煙	煙		
菹		菹					
菼		菼					
菽		菽					
萁		萁					
萃		萃					
萄		萄					
萆		萆					
萇		苌					
萊		莱			莱		
萋		萋					
萌		萌					
萍		萍					
萎		萎					
萏		萏					
萑		萑					
萘		萘					
萜		萜					
萣		萣					
萩		萩					
萬		万			万		
萱		萱					
萳		萳					
萴		荝					
萵		莴					
萸		萸					
萹		萹					
萼		萼					
落		落					
葆		葆					
葉		叶					
葎		葎					
葑		葑					
葒		荭					
葖		葖					
著		著			著	著	
葙		葙					
葚		葚					
葛		葛					
葜		葜					
葝		𫈎					
葡		葡					
董		董					
葤		荮					
葦		苇					
葩		葩					
葫		葫					
葬		葬					
葭		葭					
葯		药					
葰		葰					
葳		葳					
葴		葴					
葵		葵					
葶		葶					
葷		荤					
葸		葸					
葺		葺					
蒂		蒂					
蒄		蒄					
蒈		蒈					
蒎		蒎					
蒐		搜 蒐					
蒔		莳					
蒕		蒀		蒀			
蒗		蒗					
蒙		蒙					
蒜		蒜					
蒞	莅	莅					
蒟		蒟					
蒡		蒡					
蒨		蒨					
蒭		𫇴					
蒯		蒯					
蒱		蒱					
蒲		蒲					
蒴		蒴					
蒸		蒸					
蒹		蒹					
蒺		蒺					
蒻		蒻					
蒼		苍					
蒽		蒽					
蒿		蒿					
蓀		荪					
蓁		蓁					
蓂		蓂					
蓄		蓄					
蓆		席					
蓇		蓇					
蓉		蓉					
蓊		蓊					
蓋		盖					
蓍		蓍					
蓏		蓏					
蓐		蓐					
蓑		蓑					
蓓		蓓					
蓖		蓖					
蓢		蓢					
蓧		𦰏					
蓬		蓬					
蓮		莲					
蓯		苁					
蓰		蓰					
蓴	蒓	莼					
蓼		蓼					
蓽		荜					
蓿		蓿					
蔀		蔀					
蔃		蔃					
蔄		𬜬					
蔈		蔈					
蔊		蔊					
蔌		蔌					
蔑		蔑					
蔓		蔓					
蔔		卜					
蔗		蔗					
蔘		参	參				
蔚		蔚					
蔞		蒌					
蔟		蔟					
蔡		蔡					
蔣		蒋			蒋		
蔥	葱	葱		葱	葱		
蔦		茑					
蔫		蔫					
蔬		蔬					
蔭		荫					
蔯		𫈟					
蔸		蔸					
蔻		蔻					
蔽		蔽					
蔿	蒍	𫇭	蒍	蒍			
蕁		荨					
蕃		蕃					
蕆		蒇					
蕈		蕈					
蕉		蕉					
蕊		蕊					
蕎		荞					
蕒		荬					
蕓		芸					
蕕		莸					
蕖		蕖					
蕗		蕗					
蕘		荛					
蕙		蕙					
蕝		𫈵					
蕞		蕞					
蕢		蒉					
蕤		蕤					
蕨		蕨					
蕩		荡					
蕪		芜					
蕭		萧					
蕳		𫈉					
蕷		蓣					
蕹		蕹					
蕺		蕺					
蕻		蕻					
蕽		𫇽					
蕾		蕾					
薀	蕰	蕰					
薁		薁					
薄		薄					
薅		薅					
薆		𫉁					
薇		薇					
薈		荟					
薊		蓟					
薌		芗					
薏		薏					
薑		姜					
薔		蔷					
薘		荙					
薛		薛					
薜		薜					
薟		莶					
薢		薢					
薤		薤					
薦		荐					
薨		薨					
薩		萨					
薪		薪					
薯		薯					
薰		薰			薫		
薳		䓕 薳					
薴		苧					
薵		䓓					
薷		薷					
薸		薸					
薹		薹					
薺		荠					
薿		薿					
藁		藁					
藉		藉 借					
藍		蓝					
藎		荩					
藏		藏			蔵		
藐		藐					
藕		藕					
藜		藜					
藝		艺			芸		
藟		藟					
藠		藠					
藤		藤					
藥		药			薬		
藦		藦					
藨		藨					
藩		藩					
藪		薮					
藭		䓖					
藶		苈					
藷		𫉄 薯					
藹		蔼					
藺		蔺					
藻		藻					
藿		藿					
蘀		萚					
蘄		蕲					
蘅		蘅					
蘆		芦			芦		
蘇		苏					
蘊	藴	蕴 藴		藴			
蘋		苹 𬞟					
蘑		蘑					
蘘		蘘					
蘚		藓					
蘞		蔹					
蘟		𦻕					
蘢		茏					
蘧		蘧					
蘩		蘩					
蘭		兰					
蘸		蘸					
蘺		蓠					
蘼		蘼					
蘿		萝					
虆		蔂					
虉		𬟁					
虎		虎					
虐		虐					
虒		虒					
虓		虓					
虔		虔					
處		处			処		
虛	虚	虚			虚		
虜		虏			虜	虜	
虞		虞					
號		号			号		
虢		虢					
虤		虤					
虧		亏					
虫		虫					
虯	虬	虬					
虷		虷					
虸		虸					
虹		虹					
虺		虺					
虻		虻					
虼		虼					
蚄		蚄					
蚆		蚆					
蚊		蚊					
蚋		蚋					
蚌		蚌					
蚍		蚍					
蚓		蚓					
蚜		蚜					
蚝		蚝					
蚣		蚣					
蚤		蚤					
蚧		蚧					
蚨		蚨					
蚩		蚩					
蚪		蚪					
蚯		蚯					
蚰		蚰					
蚱		蚱					
蚲		蚲					
蚴		蚴					
蚶		蚶					
蚺		蚺					
蛀		蛀					
蛃		蛃					
蛄		蛄					
蛆		蛆					
蛇		蛇					
蛉		蛉					
蛋		蛋					
蛐		蛐					
蛑		蛑					
蛔		蛔					
蛘		蛘					
蛙		蛙					
蛛		蛛					
蛞		蛞					
蛟		蛟					
蛤		蛤					
蛩		蛩					
蛭		蛭					
蛸		蛸					
蛹		蛹					
蛺		蛱					
蛻	蜕	蜕		蜕			
蛾		蛾					
蜀		蜀					
蜂		蜂					
蜃		蜃					
蜆		蚬					
蜇		蜇					
蜈		蜈					
蜉		蜉					
蜊		蜊					
蜍		蜍					
蜎		蜎					
蜐		蜐					
蜒		蜒					
蜓		蜓					
蜘		蜘					
蜚		蜚					
蜜		蜜					
蜞		蜞					
蜡		蜡					
蜢		蜢					
蜣		蜣					
蜥		蜥					
蜩		蜩					
蜮		蜮					
蜱		蜱					
蜴		蜴					
蜷		蜷					
蜻		蜻					
蜾		蜾					
蜿		蜿					
蝀		𬟽					
蝌		蝌					
蝎		蝎					
蝓		蝓					
蝕		蚀					
蝗		蝗					
蝘		蝘					
蝙		蝙					
蝟	猬	猬					
蝠		蝠					
蝣		蝣					
蝤		蝤					
蝥		蝥					
蝦		虾					
蝨	虱	虱					
蝮		蝮					
蝰		蝰					
蝲		蝲					
蝴		蝴					
蝶		蝶					
蝸		蜗					
蝻		蝻					
蝽		蝽					
螂		螂					
螃		螃					
螄		蛳					
螅		螅					
螈		螈					
螋		螋					
融		融					
螗		螗					
螞		蚂					
螟		螟					
螠		螠					
螢		萤			蛍		
螣		螣					
螫		螫					
螬		螬					
螭		螭					
螮		䗖					
螯		螯					
螱		螱					
螳		螳					
螵		螵					
螺		螺					
螻		蝼					
螽		螽					
螿		螀					
蟀		蟀					
蟂		𫋇					
蟄		蛰					
蟆		蟆					
蟈		蝈					
蟊		蟊					
蟋		蟋					
蟎		螨					
蟑		蟑					
蟒		蟒					
蟘		𫋌					
蟛		蟛					
蟜		𫊸					
蟠		蟠					
蟣		虮					
蟥		蟥					
蟪		蟪					
蟫		蟫					
蟬		蝉					
蟮		蟮					
蟯		蛲					
蟲		虫			虫		
蟳		𫊻					
蟶		蛏					
蟹		蟹					
蟻		蚁					
蟾		蟾					
蠀		𧏗					
蠁		蚃					
蠃		蠃					
蠅		蝇					
蠆		虿					
蠊		蠊					
蠋		蠋					
蠍		蝎					
蠐		蛴					
蠑		蝾					
蠓		蠓					
蠔		蚝					
蠕		蠕					
蠖		蠖					
蠙		𧏖					
蠟		蜡			蝋		
蠡		蠡					
蠢		蠢					
蠣		蛎					
蠦		𫊮					
蠨		蟏					
蠱		蛊					
蠲		蠲					
蠶		蚕			蚕		
蠹		蠹					
蠻		蛮			蛮		
蠼		蠼					
蠾		𧑏					
血		血					
衃		衃					
衄		衄					
衆	眾	众	眾	眾			
衊		蔑					
行		行					
衍		衍					
衎		衎					
衒		衒					
術		术					
衕		同					
街		街					
衙		衙					
衚		胡					
衛		卫		衞	衛	衞	
衝		冲					
衠		衠					
衡		衡					
衢		衢					
衣		衣					
表		表					
衩		衩					
衫		衫					
衰		衰					
衲		衲					
衷		衷					
衹		只 祇					
衽		衽					
衾		衾					
衿		衿					
袁		袁					
袂		袂					
袈		袈					
袋		袋					
袍		袍					
袒		袒					
袖		袖					
袗		袗					
袞	衮	衮					
袢		袢					
袤		袤					
袪		袪					
被		被					
袱		袱					
袷		袷 夹					
袼		袼					
裁		裁					
裂		裂					
裉		裉					
裊		袅					
裎		裎					
裏	裡	里	裡				
裒		裒					
裔		裔					
裕		裕					
裘		裘					
裙		裙					
裛		裛					
補		补					
裝		装			装		
裟		裟					
裨		裨					
裰		裰					
裱		裱					
裳		裳					
裴		裴					
裸		裸					
裹		裹					
裼		裼					
製		制					
裾		裾					
褂		褂					
複		复					
褊		褊					
褌		裈					
褐		褐			褐	褐	
褒		褒			褒	襃	
褓		褓					
褕		褕					
褘		袆					
褙		褙					
褚		褚					
褟		褟					
褡		褡					
褥		褥					
褪		褪					
褫		褫					
褯		褯					
褰		褰					
褲		裤					
褳		裢					
褶		褶					
褸		褛					
褻		亵					
襀		𫌀					
襁		襁					
襄		襄					
襇		裥					
襉		裥					
襏		袯					
襓		𫋹					
襖		袄					
襗		𫋷					
襘		𫋻					
襚		襚					
襜		襜					
襝		裣					
襞		襞					
襟		襟					
襠		裆					
襤		褴					
襦		襦					
襪		袜					
襫		襫					
襬		摆 䙓					
襯		衬					
襰		𧝝					
襲		袭					
襴		襕					
襵		𫌇					
襻		襻					
西		西					
要		要					
覃		覃					
覆		覆 复					
覈		核	核	核			
見		见					
覎		觃					
規		规					
覓		觅					
視		视			視	視	
覘		觇					
覛		𫌪					
覡		觋					
覥		觍					
覦		觎					
親		亲					
覬		觊					
覯		觏					
覲		觐					
覷		觑					
覹		𫌭					
覺		觉			覚		
覼		𫌨					
覽		览			覧		
覿		觌					
觀		观			観		
角		角					
觖		觖					
觚		觚					
觜		觜					
觟		觟					
解		解					
觥		觥					
觫		觫					
觭		觭					
觱		觱					
觳		觳					
觴		觞					
觶		觯					
觸		触			触		
觿		觿					
言		言					
訁		讠					
訂		订					
訃		讣					
訄		訄					
訇		訇					
計		计					
訊		讯					
訌		讧					
討		讨					
訏		𬣙					
訐		讦					
訑		𫍙					
訒		讱					
訓		训					
訕		讪					
訖		讫					
託		托 讬					
記		记					
訛		讹					
訜		𫍛					
訝		讶					
訞		𫍚					
訟		讼					
訢		欣 䜣					
訣		诀					
訥		讷					
訨		𫟞					
訩		讻					
訪		访					
設		设					
許		许					
訴		诉					
訶		诃					
診		诊					
註		注					
証		证					
訾		訾					
詀		𧮪					
詁		诂					
詆		诋					
詈		詈					
詊		𫟟					
詎		讵					
詐		诈					
詑		𫍡					
詒		诒					
詓		𫍜					
詔		诏					
評		评					
詖		诐					
詗		诇					
詘		诎					
詛		诅					
詝		𬣞					
詞		词					
詠	咏	咏					
詡		诩					
詢		询					
詣		诣					
試		试					
詩		诗					
詪		𬣳					
詫		诧					
詬		诟					
詭		诡					
詮		诠					
詰		诘					
話		话					
該		该					
詳		详					
詵		诜					
詷		𫍣					
詹		詹					
詼		诙					
詿		诖					
誂		𫍥					
誄		诔					
誅		诛					
誆		诓					
誇		夸					
誋		𫍪					
誌		志					
認		认					
誑		诳					
誒		诶					
誓		誓					
誕		诞					
誘		诱					
誚		诮					
語		语					
誠		诚					
誡		诫					
誣		诬					
誤		误					
誥		诰					
誦		诵					
誨		诲					
說	説	说		説	説		
誫		𫍨					
誰		谁					
課		课					
誳		𫍮					
誴		𫟡					
誶		谇					
誷		𫍬					
誹		诽					
誺		𫍧					
誼		谊					
誾		訚					
調		调					
諂		谄					
諄		谆					
談		谈					
諉		诿					
請		请					
諍		诤					
諏		诹					
諑		诼					
諒		谅					
諓		𬣡					
論		论					
諗		谂					
諛		谀					
諜		谍					
諝		谞					
諞		谝					
諟		𬤊					
諡		谥					
諢		诨					
諣		𫍩					
諤		谔					
諥		𫍳					
諦		谛					
諧		谐					
諫		谏 𫍝					
諭		谕					
諮		咨 谘					
諯		𫍱					
諰		𫍰					
諱		讳					
諲		𬤇					
諳		谙					
諴		𫍯					
諶		谌					
諷		讽					
諸		诸			諸	諸	
諺		谚					
諼		谖					
諾		诺					
謀		谋					
謁		谒			謁	謁	
謂		谓					
謄		誊					
謅		诌					
謆		𫍸					
謇		謇					
謉		𫍷					
謊		谎					
謎		谜					
謏		𫍲					
謐		谧					
謔		谑					
謖		谡					
謗		谤					
謙		谦					
謚		谥					
講		讲					
謝		谢					
謠	謡 䚻	谣			謡		
謨		谟					
謫		谪					
謬		谬					
謯		𫍹					
謱		𫍴					
謳		讴					
謸		𫍵					
謹		谨			謹	謹	
謾		谩					
譁		哗					
譂		𫟠					
譅		𰶎					
譆		𫍻 嘻					
證		证			証		
譊		𫍢					
譎		谲					
譏		讥					
譑		𫍤					
譓		𬤝					
譖		谮					
識		识					
譙		谯					
譚		谭					
譜		谱					
譞		𫍽					
譟		噪					
警		警					
譨		𫍦					
譫		谵					
譬		譬					
譭		毁					
譯		译			訳		
議		议					
譴		谴					
護		护					
譸		诪					
譽		誉			誉		
譾	謭	谫 𫍿					
讀		读			読		
讅		谉					
變		变			変		
讋		詟					
讌		䜩 宴					
讎		仇 雠					
讒		谗					
讓		让			譲		
讕		谰					
讖		谶					
讚		赞					
讜		谠					
讞		谳					
谷		谷					
谼		谼					
谿		谿 溪					
豁		豁					
豆		豆					
豇		豇					
豈		岂					
豉		豉					
豌		豌					
豎	竪	竖					
豐		丰			豊		
豔	豓	艳					
豕		豕					
豚		豚					
象		象					
豢		豢					
豨		豨					
豪		豪					
豫		豫			予		
豬	猪	猪					
豳		豳					
豵		𫎆					
豶		豮					
豸		豸					
豹		豹					
豺		豺					
貂		貂					
貅		貅					
貆		貆					
貉		貉					
貊		貊					
貌		貌					
貓	猫	猫			猫		
貔		貔					
貗		𫎌					
貘		貘					
貙		䝙					
貝		贝					
貞		贞					
貟		贠					
負		负					
財		财					
貢		贡					
貧		贫					
貨		货					
販		贩					
貪		贪					
貫		贯					
責		责					
貯		贮					
貰		贳					
貲		赀 资					
貳		贰			弐		
貴		贵					
貶		贬					
買		买 𧹒					
貸		贷					
貺		贶					
費		费					
貼		贴					
貽		贻					
貿		贸					
賀		贺					
賁		贲					
賂		赂					
賃		赁					
賄		贿					
賅		赅					
資		资					
賈		贾					
賊		贼					
賑		赈					
賒		赊					
賓		宾			賓	賓	
賕		赇					
賙		赒					
賚		赉					
賜		赐					
賝		𫎩					
賞		赏					
賟		𧹖					
賠		赔					
賡		赓					
賢		贤					
賣		卖			売		
賤		贱					
賦		赋					
賧		赕					
質		质					
賬		账 𧹔					
賭		赌					
賰		䞐					
賴		赖			頼		
賵		赗					
賺		赚					
賻		赙					
購		购					
賽		赛					
賾		赜					
贃		𧹗					
贄		贽					
贅		赘					
贇		赟					
贈		赠			贈	贈	
贉		𫎫					
贊		赞			賛		
贋		赝					
贍		赡					
贏		赢					
贐		赆					
贑		𫎬					
贓	贜	赃					
贔		赑					
贖		赎					
贗	偐	赝			贋		
贚		𫎦					
贛		赣					
赤		赤					
赦		赦					
赧		赧					
赫		赫					
赬		赪					
赭		赭					
走		走					
赳		赳					
赴		赴					
起		起					
趁		趁					
趄		趄					
超		超					
越		越					
趑		趑					
趔		趔					
趕		赶					
趙		赵					
趟		趟					
趣		趣					
趨		趋					
趯		趯					
趲		趱					
足		足					
趴		趴					
趵		趵					
趺		趺					
趼		趼					
趾		趾					
趿		趿					
跂		跂					
跆		跆					
跋		跋					
跌		跌					
跎		跎					
跏		跏					
跐		跐					
跑		跑					
跖		跖					
跗		跗					
跚		跚					
跛		跛					
距		距					
跟		跟					
跡		迹					
跣		跣					
跤		跤					
跨		跨					
跪		跪					
跬		跬					
路		路					
跱		跱					
跳		跳					
跺	跥	跺					
跽		跽					
踅		踅					
踉		踉					
踊	踴	踊	踴	踴			
踏		踏					
踐		践			践		
踒		踒					
踔		踔					
踝		踝					
踞		踞					
踟		踟					
踢		踢					
踣		踣					
踦		踦					
踩		踩					
踮		踮					
踱		踱					
踵		踵					
踶		踶					
踹		踹					
踺		踺					
踽		踽					
蹀		蹀					
蹁		蹁					
蹂		蹂					
蹄		蹄					
蹅		蹅					
蹇		蹇					
蹈		蹈					
蹉		蹉					
蹊		蹊					
蹋		蹋					
蹌		跄					
蹐		蹐					
蹔		𫏐					
蹕		跸					
蹙		蹙					
蹚		蹚					
蹜		蹜					
蹟		迹					
蹠		跖					
蹢		蹢					
蹣		蹒					
蹤	踪	踪					
蹦		蹦					
蹩		蹩					
蹬		蹬					
蹭		蹭					
蹯		蹯					
蹲		蹲					
蹳		𫏆					
蹴		蹴					
蹶		蹶					
蹺		跷					
蹻		𫏋					
蹼		蹼					
蹽		蹽					
蹾		蹾					
躁		躁					
躂		跶					
躅		躅					
躇		躇					
躉		趸					
躊		踌					
躋		跻					
躍		跃					
躎		䟢					
躐		躐					
躑		踯					
躒		跞					
躓		踬					
躔		躔					
躕	蹰	蹰					
躘		𨀁					
躚		跹					
躝		𨅬					
躞		躞					
躡		蹑					
躥		蹿					
躦		躜					
躪		躏					
身		身					
躬		躬					
躲	躱	躲					
躺		躺					
軀		躯					
軉		𨉗					
車		车					
軋		轧					
軌		轨					
軍		军					
軏		𫐄					
軑		轪					
軒		轩					
軔		轫					
軕		𫐅					
軗		𨐅					
軛		轭					
軜		𫐇					
軝		𬨂					
軟		软					
軤		轷					
軨		𫐉					
軫		轸					
軬		𫐊					
軲		轱					
軷		𫐈					
軸		轴					
軹		轵					
軺		轺					
軻		轲					
軼		轶					
軾		轼					
軿		𫐌					
較		较					
輄		𨐈					
輅		辂					
輇		辁					
輈		辀					
載		载					
輊		轾					
輋		𪨶					
輒		辄					
輓		挽					
輔		辅					
輕		轻			軽		
輖		𫐏					
輗		𫐐					
輛		辆			輌		
輜		辎					
輝		辉					
輞		辋					
輟		辍					
輢		𫐎					
輥		辊					
輦		辇					
輨		𫐑					
輩		辈					
輪		轮					
輬		辌					
輮		𫐓					
輯		辑					
輳		辏					
輶		𬨎					
輷		𫐒					
輸		输					
輻		辐					
輾		辗					
輿		舆					
轀	輼	辒		輼			
轂		毂					
轄		辖					
轅		辕					
轆		辘					
轇		𫐖					
轉		转			転		
轊		𫐕					
轍		辙					
轎		轿					
轐		𫐗					
轔		辚					
轗		𫐘					
轟		轰					
轠		𫐙					
轡		辔					
轢		轹					
轣		𫐆					
轤		轳					
辛		辛					
辜		辜					
辟		辟					
辣		辣					
辦		办					
辨		辨			弁		
辭		辞			辞		
辮		辫					
辯		辩			弁		
辰		辰					
辱		辱					
農		农					
辿		辿					
迂		迂					
迄		迄					
迅		迅					
